code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
300565,科信技术,-0.1899,-0.0795,-3.9057,-0.2934,-31.2243
600067,冠城大通,-0.19,-0.0392,-2.2792,-0.0609,-9.3804
300419,浩丰科技,-0.1901,-0.0349,-3.8484,-0.2224,-22.5263
300555,路通视信,-0.1902,-0.0571,-3.9462,-0.2653,-27.0078
000007,全新好,-0.1907,-0.0145,,-0.1411,-14.5915
601155,新城控股,-0.1913,-0.016,-1.1487,-0.0181,-2.2661
600776,东方通信,-0.1914,-0.0825,-3.8752,-0.5338,-53.8767
600199,金种子酒,-0.1918,-0.051,-64.0178,-0.203,-25.9764
603189,网达软件,-0.1918,-0.0276,-3.2603,-0.5117,-76.6863
600302,标准股份,-0.192,-0.0614,,-0.2694,-29.471
000957,中通客车,-0.1923,-0.0533,-19.4015,-0.0685,-8.3738
000955,欣龙控股,-0.1924,-0.0885,,-0.2185,-29.4515
300311,任子行,-0.1925,-0.0656,-1.4678,-0.1501,-19.6879
300052,中青宝,-0.193,-0.0313,-1.1468,-0.091,-9.7707
600823,世茂股份,-0.1939,-0.0277,-1.1094,-0.0495,-7.4487
300079,数码科技,-0.1947,-0.0426,-2.3117,-0.2167,-22.0032
002554,惠博普,-0.195,-0.048,-7.3346,-0.0942,-13.1586
300284,苏交科,-0.1951,-0.0787,-2.3999,-0.1243,-15.1329
002488,金固股份,-0.1962,-0.0583,-3.5098,-0.1352,-15.9799
600834,申通地铁,-0.1965,-0.0398,-4.3518,-0.0856,-15.6593
002662,京威股份,-0.1966,-0.0918,-0.9443,-0.2245,-26.3075
600212,江泉实业,-0.1967,-0.0437,,-0.9385,-93.8543
300479,神思电子,-0.19699999999999998,-0.0638,-4.0173,-0.2079,-23.3587
300356,光一科技,-0.1972,-0.0325,-2.7855,-0.0894,-10.5857
002477,雏鹰农牧,-0.1973,-0.0287,,-0.0386,-4.6035
300140,中环装备,-0.1977,-0.0394,,-0.0607,-6.4179
002418,康盛股份,-0.1981,-0.0778,,-0.1225,-13.4659
300235,方直科技,-0.1984,-0.0289,-0.8893,-0.5401,-59.2632
